iter	Passed	Remaining
407	6699	9721
408	6717	9706
409	6734	9690
410	6746	9667
411	6756	9643
412	6768	9619
413	6781	9598
414	6797	9581
415	6809	9559
416	6824	9541
417	6836	9518
418	6846	9493
419	6857	9469
420	6872	9451
421	6895	9445
422	6918	9437
423	6932	9418
424	6949	9402
425	6965	9384
426	6975	9360
427	6986	9336
428	7003	9321
429	7017	9301
430	7029	9280
431	7048	9267
432	7062	9247
433	7072	9223
434	7087	9205
435	7105	9191
436	7130	9186
437	7147	9171
438	7164	9155
439	7176	9133
440	7193	9118
441	7206	9097
442	7220	9078
443	7233	9057
444	7247	9039
445	7260	9018
446	7270	8994
447	7286	8977
448	7298	8956
449	7315	8941
450	7339	8934
451	7359	8922
452	7370	8900
453	7383	8879
454	7398	8861
455	7415	8845
456	7427	8824
457	7438	8802
458	7449	8779
459	7462	8759
460	7476	8741
461	7493	8725
462	7512	8712
463	7527	8696
464	7552	8689
465	7570	8674
466	7586	8658
467	7597	8636
468	7607	8613
469	7621	8594
470	7633	8573
471	7657	8566
472	7676	8552
473	7690	8534
474	7701	8511
475	7711	8488
476	7726	8471
477	7754	8468
478	7774	8455
479	7787	8436
480	7804	8420
481	7819	8403
482	7830	8382
483	7844	8363
484	7857	8343
485	7868	8321
486	7878	8298
487	7893	8281
488	7910	8266
489	7924	8247
490	7952	8243
491	7971	8230
492	7986	8213
493	8001	8196
494	8013	8175
495	8023	8153
496	8037	8134
497	8049	8113
498	8061	8094
499	8073	8073
500	8086	8054
501	8099	8035
502	8111	8015
503	8122	7993
504	8137	7976
505	8159	7965
506	8181	7955
507	8198	7940
508	8211	7920
509	8222	7900
510	8233	7878
511	8246	7860
512	8261	7843
513	8277	7826
514	8292	7809
515	8303	7788
516	8316	7769
517	8332	7753
518	8344	7733
519	8357	7714
520	8385	7709
521	8403	7695
522	8414	7674
523	8426	7654
524	8439	7635
525	8452	7616
526	8467	7599
527	8483	7583
528	8498	7566
529	8514	7550
530	8528	7532
531	8541	7513
532	8553	7494
533	8574	7482
534	8598	7473
535	8609	7453
536	8622	7433
537	8635	7415
538	8648	7396
539	8664	7380
540	8674	7359
541	8686	7339
542	8699	7321
543	8711	7302
544	8730	7288
545	8740	7267
546	8754	7250
547	8769	7233
548	8804	7232
549	8818	7215
550	8834	7198
551	8851	7184
552	8863	7164
553	8873	7143
554	8885	7124
555	8909	7114
556	8923	7096
557	8934	7077
558	8944	7056
559	8960	7040
560	8975	7023
561	8989	7005
562	8999	6985
563	9031	6981
564	9049	6967
565	9062	6948
566	9075	6930
567	9085	6910
568	9100	6893
569	9117	6877
570	9129	6859
571	9140	6839
572	9152	6820
573	9163	6800
574	9179	6785
575	9193	6767
576	9207	6749
577	9218	6730
578	9235	6715
579	9259	6705
580	9276	6689
581	9288	6671
582	9299	6651
583	9310	6631
584	9323	6614
585	9340	6599
586	9354	6581
587	9368	6564
588	9381	6546
589	9391	6526
590	9403	6507
591	9417	6490
592	9435	6475
593	9467	6471
594	9486	6457
595	9504	6442
596	9525	6430
597	9536	6410
598	9550	6393
599	9566	6377
600	9577	6358
601	9588	6339
602	9604	6323
603	9617	6305
604	9631	6288
605	9657	6278
606	9673	6262
607	9685	6244
608	9696	6225
609	9711	6209
610	9726	6192
611	9739	6174
612	9751	6156
613	9762	6137
614	9775	6119
615	9790	6103
616	9804	6086
617	9815	6067
618	9827	6048
619	9840	6031
620	9855	6015
621	9882	6006
622	9897	5989
623	9911	5972
624	9927	5956
625	9941	5939
626	9952	5920
627	9964	5902
628	9989	5891
629	10003	5874
630	10015	5856
631	10032	5841
632	10045	5823
633	10061	5808
634	10081	5794
635	10099	5780
636	10112	5762
637	10126	5745
638	10146	5732
639	10157	5713
640	10172	5697
641	10185	5679
642	10201	5664
643	10214	5646
644	10224	5627
645	10239	5611
646	10253	5594
647	10275	5581
648	10299	5570
649	10316	5554
650	10329	5537
651	10341	5519
652	10358	5504
653	10368	5485
654	10387	5471
655	10414	5461
656	10428	5444
657	10440	5426
658	10450	5407
659	10465	5391
660	10483	5376
661	10510	5366
662	10525	5350
663	10538	5332
664	10555	5317
665	10566	5298
666	10576	5280
667	10590	5263
668	10602	5245
669	10618	5229
670	10631	5212
671	10645	5196
672	10661	5180
673	10675	5163
674	10700	5152
675	10721	5138
676	10742	5125
677	10761	5111
678	10775	5093
679	10788	5076
680	10804	5061
681	10818	5044
682	10836	5029
683	10855	5015
684	10873	4999
685	10886	4982
686	10896	4964
687	10927	4955
688	10942	4939
689	10958	4923
690	10975	4908
691	10988	4890
692	10998	4872
693	11011	4855
694	11023	4837
695	11036	4820
696	11049	4803
697	11060	4785
